ISBN,Title,Authors,Publication Date,Star Rating,Number of Ratings,Price,Format,URL
9781837633357,"Data Engineering with Databricks Cookbook: Build effective data and AI solutions using Apache Spark, Databricks, and Delta Lake",Pulkit Chadha,2024-05-31,4.4,7,37.99,Paperback,https://www.packtpub.com/en-gb/product/data-engineering-with-databricks-cookbook-9781837633357
9781804614426,"Data Engineering with AWS:  Acquire the skills to design and build AWS-based data transformation pipelines like a pro
            , Second Edition",Eagar,2023-10-31,4.8,31,38.99,Paperback,https://www.packtpub.com/en-gb/product/data-engineering-with-aws-9781804614426
9781803246284,"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Zagni,2023-06-30,4.9,8,37.99,Paperback,https://www.packtpub.com/en-gb/product/data-engineering-with-dbt-9781803246284
9781839214189,Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using Python,Paul Crickard,2020-10-23,2.6,24,38.99,Paperback,https://www.packtpub.com/en-gb/product/data-engineering-with-python-9781839214189
9781835080115,"Data Engineering with Google Cloud Platform: A guide to leveling up as a data engineer by building a scalable data platform with Google Cloud 
            , Second Edition",Adi Wijaya,2024-04-30,4.5,6,31.99,Paperback,https://www.packtpub.com/en-gb/product/data-engineering-with-google-cloud-platform-9781835080115
9781837630776,"Cracking the Data Engineering Interview: Land your dream job with the help of resume-building tips, over 100 mock questions, and a unique portfolio","Bryan, Ransome",2023-11-07,4.6,5,22.99,Paperback,https://www.packtpub.com/en-gb/product/cracking-the-data-engineering-interview-9781837630776
9781801077743,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Kukreja,2021-10-22,4.7,58,36.99,Paperback,https://www.packtpub.com/en-gb/product/data-engineering-with-apache-spark-delta-lake-and-lakehouse-9781801077743
9781805127284,Data Engineering with AWS Cookbook: A recipe-based approach to help you tackle data engineering problems with AWS services,"Trâm Ngọc Phạm, Gonzalo Herreros González, Viquar  Khan, Huda Nofal",2024-11-29,,,37.99,Paperback,https://www.packtpub.com/en-gb/product/data-engineering-with-aws-cookbook-9781805127284
9781804612583,Data Engineering with Scala and Spark: Build streaming and batch pipelines that process massive amounts of data using Scala,"Eric Tome, Rupam Bhattacharjee, David Radford",2024-01-31,4.2,5,27.99,Paperback,https://www.packtpub.com/en-gb/product/data-engineering-with-scala-and-spark-9781804612583
9781800560413,Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using AWS,Eagar,2021-12-29,4.7,24,48.99,Paperback,https://www.packtpub.com/en-gb/product/data-engineering-with-aws-9781800560413
9781803236483,Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx,Paul Houghton,2022-06-30,4.8,11,35.99,Paperback,https://www.packtpub.com/en-gb/product/data-engineering-with-alteryx-9781803236483
